"-- NONE --","-- NONE --"
"%s product(s) successfully added to your shopping cart.","%s product(s) successfully added to your shopping cart."
"Allowed Customer Groups","Allowed Customer Groups"
"Ascending ↑","Ascending ↑"
"Can see Quick Order Form","Can see Quick Order Form"
"Choose a product attribute to sort suggestion list by.","Choose a product attribute to sort suggestion list by."
"Descending ↓","Descending ↓"
"Display Out of Stock Products","Display Out of Stock Products"
"Display/hide out of stock products in suggestion list (works only if 'Display Out of Stock Products' option is set to 'Yes' in System / Configuration / Catalog / Inventory section).","Display/hide out of stock products in suggestion list (works only if 'Display Out of Stock Products' option is set to 'Yes' in System / Configuration / Catalog / Inventory section)."
"Form allows to order products by their attributes","Form allows to order products by their attributes"
"General","General"
"Include complex products (configurable, bundled or grouped) into result suggestion.","Include complex products (configurable, bundled or grouped) into result suggestion."
"Include Complex Products","Include Complex Products"
"Include individualy invisible products into result suggestion.","Include individualy invisible products into result suggestion."
"Include Invisible Products","Include Invisible Products"
"Input delay for suggestion request (in msec, default: 500; max: 10000)","Input delay for suggestion request (in msec, default: 500; max: 10000)"
"Internal error occurred","Internal error occurred"
"Minimal number of symbols required to start showing suggestion list","Minimal number of symbols required to start showing suggestion list",
"No data for query: %s","No data for query: %s"
"No Item # were entered.","No Item # were entered."
"Praxigento Quick Order Widget","Praxigento Quick Order Widget"
"Praxigento: Quick Order","Praxigento: Quick Order"
"Product #%s couldn't be added to your shopping cart because of error: %s","Product #%s couldn't be added to your shopping cart because of error: %s"
"Product couldn't be added","Product couldn't be added"
"Qty","Qty"
"Quick Order Widget","Quick Order Widget"
"Quick Order","Quick Order"
"Search by Attributes","Search by Attributes"
"Select Customer groups allowed to use 'Quick Order Form' widget.","Select Customer groups allowed to use 'Quick Order Form' widget."
"Select product attributes to use in suggestion preparation.","Select product attributes to use in suggestion preparation."
"SKU","SKU"
"Sort Order","Sort Order"
"Sort Results By","Sort Results By"
"Suggestion results sorting order.","Suggestion results sorting order."
"Template","Template"
"Title for QTY field","Title for QTY field"
"Title for SKU field","Title for SKU field"
"Widget Title","Widget Title"
